Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,06/05/2020,9.8,,,,27.9,31.5,23.9,8.0,33.2,1.4439,103.7854
North,Admiralty,07/05/2020,2.6,1.8,2.4,2.6,27.0,32.8,24.6,11.6,53.7,1.4439,103.7854
North,Admiralty,08/05/2020,0,0.0,0.0,0.0,29.0,33.0,26.5,8.3,28.2,1.4439,103.7854
North,Admiralty,09/05/2020,13.4,3.4,4.8,7.2,25.0,26.0,23.5,8.3,31.3,1.4439,103.7854
North,Admiralty,10/05/2020,0,0.0,0.0,0.0,29.4,33.9,26.5,8.7,25.6,1.4439,103.7854
North,Admiralty,11/05/2020,0,0.0,0.0,0.0,28.2,33.4,24.5,11.7,26.7,1.4439,103.7854
North,Admiralty,12/05/2020,0.2,0.2,0.2,0.2,26.6,30.2,24.9,21.2,52.2,1.4439,103.7854
North,Admiralty,13/05/2020,2.4,1.4,1.4,1.6,27.8,31.3,24.7,10.8,38.2,1.4439,103.7854
North,Admiralty,14/05/2020,0,0.0,0.0,0.0,29.1,34.2,25.6,12.4,35.6,1.4439,103.7854
North,Admiralty,15/05/2020,0,0.0,0.0,0.0,30.1,34.7,27.0,9.9,32.4,1.4439,103.7854
North,Admiralty,16/05/2020,10.8,10.4,10.8,10.8,29.8,33.9,26.6,9.4,38.9,1.4439,103.7854
North,Admiralty,17/05/2020,46,27.0,35.2,38.2,28.2,33.1,24.7,9.3,39.6,1.4439,103.7854
North,Admiralty,18/05/2020,0,0.0,0.6,3.4,29.1,34.4,25.3,7.6,23.7,1.4439,103.7854
North,Admiralty,19/05/2020,0,0.0,0.0,0.0,30.1,34.1,28.0,10.5,36.7,1.4439,103.7854
North,Admiralty,20/05/2020,-,,,,28.8,33.4,25.7,9.9,45.7,1.4439,103.7854
North,Admiralty,21/05/2020,0.2,,,,29.0,35.8,26.5,10.5,42.0,1.4439,103.7854
North,Admiralty,22/05/2020,40,23.6,39.4,40.0,27.9,32.4,23.4,10.9,35.0,1.4439,103.7854
North,Admiralty,23/05/2020,0.2,0.2,0.2,0.2,27.5,30.8,26.0,9.4,25.9,1.4439,103.7854
North,Admiralty,24/05/2020,0,0.0,0.0,0.0,28.5,33.6,26.4,12.1,42.0,1.4439,103.7854
North,Admiralty,25/05/2020,13.6,13.4,13.6,13.6,28.7,34.6,26.2,10.9,34.3,1.4439,103.7854
North,Admiralty,26/05/2020,2.2,1.4,1.8,2.0,28.9,35.0,26.1,9.6,30.6,1.4439,103.7854
North,Admiralty,27/05/2020,1.8,0.8,1.4,1.8,28.1,31.4,25.9,10.7,41.1,1.4439,103.7854
North,Admiralty,28/05/2020,0.6,0.6,0.6,0.6,29.0,34.3,26.5,11.0,35.2,1.4439,103.7854
North,Admiralty,29/05/2020,3.8,3.6,3.8,3.8,28.1,32.4,25.1,9.6,39.6,1.4439,103.7854
North,Admiralty,30/05/2020,6,4.0,4.0,5.2,27.8,34.7,25.2,10.1,45.0,1.4439,103.7854
North,Admiralty,31/05/2020,0,0.0,0.0,0.0,28.3,33.5,25.9,11.1,29.1,1.4439,103.7854
North,Admiralty,01/06/2020,4.8,1.6,2.8,3.8,26.0,30.7,23.8,18.0,51.5,1.4439,103.7854
North,Admiralty,02/06/2020,0,0.0,0.0,0.0,27.8,31.5,25.4,23.0,48.6,1.4439,103.7854
North,Admiralty,03/06/2020,0,0.0,0.0,0.0,27.5,31.7,25.1,13.3,38.2,1.4439,103.7854
North,Admiralty,04/06/2020,0,0.0,0.0,0.0,27.7,30.8,25.9,11.2,35.6,1.4439,103.7854
North,Admiralty,05/06/2020,0.2,0.2,0.2,0.2,28.4,31.6,25.0,7.9,37.4,1.4439,103.7854
North,Admiralty,06/06/2020,3.2,,,,27.0,29.4,24.3,8.5,25.2,1.4439,103.7854
North,Admiralty,07/06/2020,2,1.4,2.0,2.0,27.6,32.5,25.3,11.8,36.7,1.4439,103.7854
North,Admiralty,08/06/2020,0,0.0,0.0,0.0,29.5,33.5,27.7,8.2,25.6,1.4439,103.7854
North,Admiralty,09/06/2020,12.4,8.0,11.0,12.0,25.9,31.6,23.4,10.9,41.5,1.4439,103.7854
North,Admiralty,10/06/2020,0,0.0,0.0,0.0,28.9,32.8,26.5,9.8,29.1,1.4439,103.7854
North,Admiralty,11/06/2020,0,0.0,0.0,0.0,29.3,33.6,26.1,11.1,31.3,1.4439,103.7854
North,Admiralty,12/06/2020,0,0.0,0.0,0.0,28.0,32.3,25.8,22.4,46.9,1.4439,103.7854
